persona_id,population_weight,country_region,age,gender,education,urban_rural,employment
P112,0.0078125,Canada,22,Female,Bachelor or equivalent (ISCED 6),Urban,Full time (30 hours a week or more)
P113,0.0078125,Indonesia,35,Female,Primary education (ISCED 1),Rural,Full time (30 hours a week or more)
P114,0.0078125,Nigeria,20,Male,Upper secondary education (ISCED 3),Urban,Unemployed
P115,0.0078125,Pakistan,25,Female,Upper secondary education (ISCED 3),Rural,Unemployed
P116,0.0078125,Bangladesh,30,Female,Lower secondary education (ISCED 2),Urban,Housewife not otherwise employed
P117,0.0078125,Indonesia,32,Female,Upper secondary education (ISCED 3),Rural,Self employed
P118,0.0078125,Bangladesh,25,Female,Lower secondary education (ISCED 2),Rural,Housewife not otherwise employed
P119,0.0078125,Indonesia,45,Male,Primary education (ISCED 1),Rural,Full time (30 hours a week or more)
P120,0.0078125,China,45,Female,Lower secondary education (ISCED 2),Urban,Full time (30 hours a week or more)
P121,0.0078125,China,46,Female,Lower secondary education (ISCED 2),Rural,Housewife not otherwise employed
P122,0.0078125,South Korea,60,Female,Upper secondary education (ISCED 3),Urban,Housewife not otherwise employed
P123,0.0078125,China,52,Female,Lower secondary education (ISCED 2),Urban,Full time (30 hours a week or more)
P124,0.0078125,United States,26,Female,Bachelor or equivalent (ISCED 6),Urban,Full time (30 hours a week or more)
P125,0.0078125,Thailand,52,Female,Primary education (ISCED 1),Rural,Self employed
P126,0.0078125,Canada,27,Female,Bachelor or equivalent (ISCED 6),Urban,Full time (30 hours a week or more)
P127,0.0078125,Macao SAR,24,Male,Bachelor or equivalent (ISCED 6),Urban,Part time (less than 30 hours a week)
P128,0.0078125,Turkey,46,Female,Primary education (ISCED 1),Rural,Full time (30 hours a week or more)
